candidate_id,username,name,email,phone,age,field_of_study,education_level,cgpa,skills,experience_months,resume_path,registration_date,preferred_locations,district_type,social_category,gender,past_participation
CAND_9FF88D0C,13701259,"Summary
Senior Accounting Professional",13701259@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AWS, AI, Finance, Accounting, Research, REST",12,data\ACCOUNTANT\13701259.pdf,2025-09-07 23:28:11,,,,,
CAND_8DFD47A4,14055988,"Summary
Talented Accountant",14055988@email.com,,,ACCOUNTANT,Master's,7.5,"AI, Finance, Accounting, Research, Communication",6,data\ACCOUNTANT\14055988.pdf,2025-09-07 23:28:12,,,,,
CAND_62E8BDE7,14126433,"Professional Summary
Ability",14126433@email.com,,,ACCOUNTANT,Master's,7.5,"Go, AI, Strategy, Business Development, Finance, Accounting, Research, Communication, SEO",12,data\ACCOUNTANT\14126433.pdf,2025-09-07 23:28:14,,,,,
CAND_8E6842B5,14224370,"Summary
Degreed",14224370@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AI, Sales, Accounting, Communication, REST",6,data\ACCOUNTANT\14224370.pdf,2025-09-07 23:28:15,,,,,
CAND_E06D888D,14449423,"Professional Profile
To",14449423@email.com,,,ACCOUNTANT,Bachelor's,7.5,"SQL, AI, Sales, Finance, Accounting, Operations, Consulting, Research, Communication",0,data\ACCOUNTANT\14449423.pdf,2025-09-07 23:28:17,,,,,
CAND_C98395A4,14470533,"Summary
Bookkeeper",14470533@email.com,,,ACCOUNTANT,Bachelor's,9.625,"Go, AWS, AI, Accounting, Operations, REST",120,data\ACCOUNTANT\14470533.pdf,2025-09-07 23:28:19,,,,,
CAND_5F982B2A,14491649,Summary,14491649@email.com,,,ACCOUNTANT,Master's,9.175,"AI, Sales, Finance, Accounting, Operations, Research, Communication, API",12,data\ACCOUNTANT\14491649.pdf,2025-09-07 23:28:20,,,,,
CAND_E1204520,14496667,Summary,14496667@email.com,,,ACCOUNTANT,Bachelor's,2.0,"Go, AI, Marketing, Finance, Accounting, Research, REST",6,data\ACCOUNTANT\14496667.pdf,2025-09-07 23:28:21,,,,,
CAND_9F76B969,15289348,"Summary
Experienced Senior Corporate Accountant",15289348@email.com,,,ACCOUNTANT,Master's,2.0,"Go, AI, Sales, Finance, Accounting, Operations, Research, API, REST",12,data\ACCOUNTANT\15289348.pdf,2025-09-07 23:28:24,,,,,
CAND_6375937A,15363277,"Summary
Senior",15363277@email.com,,,ACCOUNTANT,Master's,2.0,"Go, AI, Leadership, Marketing, Sales, Finance, Accounting, Communication, API",12,data\ACCOUNTANT\15363277.pdf,2025-09-07 23:28:25,,,,,
CAND_B09C26E6,15592167,Summary,15592167@email.com,,,ACCOUNTANT,Master's,2.0,"Go, AI, Leadership, Marketing, Sales, Finance, Accounting, Communication",0,data\ACCOUNTANT\15592167.pdf,2025-09-07 23:28:26,,,,,
CAND_81DF6303,15821633,"Summary
Results",15821633@email.com,,,Management,Master's,7.5,"Go, AWS, AI, Accounting, Research, API, REST",6,data\ACCOUNTANT\15821633.pdf,2025-09-07 23:28:28,,,,,
CAND_3D7998E3,15906625,"Professional Summary
Current Accountant",15906625@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AI, Finance, Accounting, Operations",120,data\ACCOUNTANT\15906625.pdf,2025-09-07 23:28:30,,,,,
CAND_28887E83,16237710,"Summary
Financial Accountant",16237710@email.com,,,BUSINESS-DEVELOPMENT,Bachelor's,7.5,"Go, AI, Leadership, Strategy, Marketing, Sales, Business Development, Finance, Accounting, Research, Communication, REST, Networking",0,data\ACCOUNTANT\16237710.pdf,2025-09-07 23:28:31,,,,,
CAND_E6706C1A,17306905,"Experience
Senior Accountant",17306905@email.com,,,ACCOUNTANT,Bachelor's,9.25,"AI, Leadership, Sales, Finance, Accounting, API",12,data\ACCOUNTANT\17306905.pdf,2025-09-07 23:28:35,,,,,
CAND_38451AF6,17407184,"Summary
Enthusiastic",17407184@email.com,,,ACCOUNTANT,Master's,10.0,"AI, Project Management, Leadership, Finance, Accounting, Operations",12,data\ACCOUNTANT\17407184.pdf,2025-09-07 23:28:36,,,,,
CAND_6DF88E39,17556527,"Summary
General",17556527@email.com,,,ACCOUNTANT,Master's,7.5,"Go, AI, Strategy, Sales, Finance, Accounting, Operations",12,data\ACCOUNTANT\17556527.pdf,2025-09-07 23:28:38,,,,,
CAND_73F80058,18132924,"Executive Profile
Capable Accountant",18132924@email.com,138.882 (2014-2015,,ACCOUNTANT,Bachelor's,2.0,"SQL, AI, Sales, Accounting, Operations, Research, API, REST",6,data\ACCOUNTANT\18132924.pdf,2025-09-07 23:28:40,,,,,
CAND_228671F2,18365791,"Summary
Self",18365791@email.com,,,INFORMATION-TECHNOLOGY,Bachelor's,2.0,"Go, HTML, AI, Sales, Accounting, Photoshop, Illustrator",6,data\ACCOUNTANT\18365791.pdf,2025-09-07 23:28:40,,,,,
CAND_2C6574CF,18569929,"Summary
Sixteen",18569929@email.com,,,BUSINESS-DEVELOPMENT,Master's,7.5,"Go, AI, Marketing, Sales, Accounting, Consulting, Research",12,data\ACCOUNTANT\18569929.pdf,2025-09-07 23:28:41,,,,,
CAND_0210A7D3,18635654,Professional Summary,Hassan_aly1014@yahoo.com,+2) 01207673477,,BPO,Bachelor's,2.0,"Go, AI, Accounting, Operations, Communication",72,data\ACCOUNTANT\18635654.pdf,2025-09-07 23:28:42,,,,,
CAND_8B4579E4,18669563,"Professional Summary
Obtain",18669563@email.com,,,ACCOUNTANT,Master's,2.0,"Spring, AI, Finance, Accounting, API",12,data\ACCOUNTANT\18669563.pdf,2025-09-07 23:28:44,,,,,
CAND_EBA958D9,19446337,"Summary
Well",19446337@email.com,,,ACCOUNTANT,Master's,2.0,"Go, AI, Marketing, Sales, Finance, Accounting, Operations, Research, Communication",6,data\ACCOUNTANT\19446337.pdf,2025-09-07 23:28:45,,,,,
CAND_2FA38573,19545827,Highlights,dkterry40@sbcglobal.net,361.563.7084,,ACCOUNTANT,Master's,2.0,"Go, AI, Project Management, Sales, Accounting, Operations, Networking",12,data\ACCOUNTANT\19545827.pdf,2025-09-07 23:28:47,,,,,
CAND_DBF2C95E,20082776,Summary,20082776@email.com,,,ACCOUNTANT,Bachelor's,2.0,"Go, AI, Sales, Accounting, Operations, Research, REST",120,data\ACCOUNTANT\20082776.pdf,2025-09-07 23:28:48,,,,,
CAND_E582B55D,20253563,Summary,20253563@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AI, Sales, Accounting, Operations, Communication",120,data\ACCOUNTANT\20253563.pdf,2025-09-07 23:28:50,,,,,
CAND_5654D61B,20345168,Summary,20345168@email.com,,,BUSINESS-DEVELOPMENT,Bachelor's,2.0,"Go, AI, Marketing, Sales, Business Development, Accounting, Consulting, Research",6,data\ACCOUNTANT\20345168.pdf,2025-09-07 23:28:51,,,,,
CAND_0D872655,20393721,Skills,20393721@email.com,,,ACCOUNTANT,Master's,2.0,"Go, AI, Sales, Finance, Accounting, Operations, Research, REST, Networking",6,data\ACCOUNTANT\20393721.pdf,2025-09-07 23:28:52,,,,,
CAND_991886E2,20624984,"Summary
Financial Accountant",20624984@email.com,,,FINANCE,Master's,7.5,"Go, AI, Finance, Accounting, Research",12,data\ACCOUNTANT\20624984.pdf,2025-09-07 23:28:54,,,,,
CAND_2378DD16,21031285,"Highlights
Microsoft Office",21031285@email.com,,,ACCOUNTANT,Master's,2.0,"SQL, AI, Accounting, Operations, Research, REST",6,data\ACCOUNTANT\21031285.pdf,2025-09-07 23:28:55,,,,,
CAND_70A2AE4A,21338490,Summary,21338490@email.com,,,FINANCE,Master's,8.7,"AI, Sales, Finance, Accounting, Communication, API",120,data\ACCOUNTANT\21338490.pdf,2025-09-07 23:28:56,,,,,
CAND_FA524D92,21763056,"Professional Summary
To",21763056@email.com,,,ACCOUNTANT,Master's,7.5,"Go, AI, Sales, Finance, Accounting",6,data\ACCOUNTANT\21763056.pdf,2025-09-07 23:28:57,,,,,
CAND_00F7C065,21794875,"Professional Summary
Bilingual",21794875@email.com,,,ACCOUNTANT,Master's,7.5,"AI, Leadership, Accounting, Research",12,data\ACCOUNTANT\21794875.pdf,2025-09-07 23:28:59,,,,,
CAND_963D659B,21853199,"Summary
Professional",21853199@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AWS, AI, Sales, Accounting, Research, Communication, API",6,data\ACCOUNTANT\21853199.pdf,2025-09-07 23:29:00,,,,,
CAND_31201B80,22465498,"Summary
Accountant",22465498@email.com,211 221149,,ACCOUNTANT,Bachelor's,1.2,"Go, AWS, AI, Finance, Accounting, Communication, Teamwork, REST",0,data\ACCOUNTANT\22465498.pdf,2025-09-07 23:29:02,,,,,
CAND_0AF2D207,22925443,"Summary
Seeking",22925443@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AI, Marketing, Finance, Accounting, Research, Communication",6,data\ACCOUNTANT\22925443.pdf,2025-09-07 23:29:04,,,,,
CAND_BE0D29E7,23139819,"Summary
Accomplished",23139819@email.com,,,ACCOUNTANT,Master's,7.5,"Go, AWS, AI, Sales, Business Development, Finance, Accounting, Operations, Research, Networking",6,data\ACCOUNTANT\23139819.pdf,2025-09-07 23:29:05,,,,,
CAND_2C5B6E24,23246831,"Summary
Detail",23246831@email.com,,,BUSINESS-DEVELOPMENT,Bachelor's,7.5,"AI, Marketing, Sales, Research, Communication",6,data\ACCOUNTANT\23246831.pdf,2025-09-07 23:29:07,,,,,
CAND_5EFAD36F,23387174,Summary,23387174@email.com,,,FINANCE,Bachelor's,7.5,"Go, AI, Sales, Finance, Accounting, Research, Communication, REST",12,data\ACCOUNTANT\23387174.pdf,2025-09-07 23:29:08,,,,,
CAND_411611E8,23416654,"Summary
More",23416654@email.com,,,ACCOUNTANT,Bachelor's,9.25,"Go, AI, Leadership, Sales, Finance, Accounting, Research, Communication",0,data\ACCOUNTANT\23416654.pdf,2025-09-07 23:29:10,,,,,
CAND_D8345726,23438112,"Professional Summary
Detail",23438112@email.com,,,ACCOUNTANT,Master's,9.775,"Go, AI, Sales, Accounting, Communication, API, REST",6,data\ACCOUNTANT\23438112.pdf,2025-09-07 23:29:11,,,,,
CAND_DE86A204,23513618,"Professional Summary
Results",23513618@email.com,,,ACCOUNTANT,Master's,7.5,"Go, AI, Leadership, Sales, Finance, Accounting, Operations, Communication",6,data\ACCOUNTANT\23513618.pdf,2025-09-07 23:29:13,,,,,
CAND_C1F8EECD,23636277,"Summary
To",23636277@email.com,,,ACCOUNTANT,Master's,2.0,"Go, AWS, AI, Leadership, Sales, Business Development, Finance, Accounting, Operations, Communication, REST",12,data\ACCOUNTANT\23636277.pdf,2025-09-07 23:29:14,,,,,
CAND_E8AE6340,23734441,"Professional Summary
Skills
Work History",23734441@email.com,(703)878-2222,,ACCOUNTANT,Bachelor's,10.0,"Go, AWS, AI, Accounting, Research",12,data\ACCOUNTANT\23734441.pdf,2025-09-07 23:29:16,,,,,
CAND_9A24CE84,24103168,"Summary
Accomplished",24103168@email.com,,,ACCOUNTANT,Master's,7.5,"AWS, AI, Finance, Accounting, Operations, API, REST",96,data\ACCOUNTANT\24103168.pdf,2025-09-07 23:29:17,,,,,
CAND_D07E27FA,24294778,"Summary
Flexible Accountant",24294778@email.com,,,ACCOUNTANT,Bachelor's,2.0,"Go, AWS, AI, Sales, Accounting, Operations, Research, Communication",12,data\ACCOUNTANT\24294778.pdf,2025-09-07 23:29:20,,,,,
CAND_EE2D12FD,24703009,"Virginia Francis
Summary
Capable Accountant",24703009@email.com,,,ACCOUNTANT,Bachelor's,7.5,"AI, Accounting",12,data\ACCOUNTANT\24703009.pdf,2025-09-07 23:29:21,,,,,
CAND_6564AF67,24799301,"Summary
Accountant",24799301@email.com,,,ACCOUNTANT,Master's,7.5,"AI, Accounting, REST",0,data\ACCOUNTANT\24799301.pdf,2025-09-07 23:29:22,,,,,
CAND_C598BA28,24817041,"Interests
Buffalo Creek Golf Club",24817041@email.com,(20012 - 2015,,ACCOUNTANT,Master's,8.95,"Go, AI, Accounting, REST",0,data\ACCOUNTANT\24817041.pdf,2025-09-07 23:29:22,,,,,
CAND_4C8B2CDD,25067742,"Summary
If",25067742@email.com,(646) 382-8408,,ACCOUNTANT,Bachelor's,7.5,"AI, Accounting",6,data\ACCOUNTANT\25067742.pdf,2025-09-07 23:29:23,,,,,
CAND_9B05B172,25127518,"Summary
Experienced",25127518@email.com,,,INFORMATION-TECHNOLOGY,Bachelor's,7.5,"Go, AI, Accounting, Operations, Research, Communication",12,data\ACCOUNTANT\25127518.pdf,2025-09-07 23:29:24,,,,,
CAND_18462390,25462793,"Summary
Accountant",25462793@email.com,,,ACCOUNTANT,Master's,7.5,"Go, AI, Sales, Accounting, Communication, REST",6,data\ACCOUNTANT\25462793.pdf,2025-09-07 23:29:25,,,,,
CAND_1FD25637,25547145,"Professional Summary
Motivated",25547145@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AI, Sales, Accounting, Operations, Communication",60,data\ACCOUNTANT\25547145.pdf,2025-09-07 23:29:27,,,,,
CAND_A3FBA939,25749150,"Professional Summary
Inpatient",25749150@email.com,,,ACCOUNTANT,Bachelor's,2.0,"AI, Leadership, Finance, Accounting, Research",12,data\ACCOUNTANT\25749150.pdf,2025-09-07 23:29:29,,,,,
CAND_AA142475,25846894,"Skills
Timberline",25846894@email.com,,,ACCOUNTANT,Bachelor's,2.0,"Go, AWS, AI, Sales, Finance, Accounting, Teamwork",6,data\ACCOUNTANT\25846894.pdf,2025-09-07 23:29:30,,,,,
CAND_27822813,25862026,Summary,25862026@email.com,,,PUBLIC-RELATIONS,Master's,7.5,"AI, Accounting, Communication",12,data\ACCOUNTANT\25862026.pdf,2025-09-07 23:29:31,,,,,
CAND_36E66E7B,25867805,"Summary
Capable Accountant",25867805@email.com,,,FINANCE,Master's,9.25,"AWS, AI, Project Management, Sales, Finance, Accounting, IoT",12,data\ACCOUNTANT\25867805.pdf,2025-09-07 23:29:33,,,,,
CAND_FC0C36D0,25935030,"Summary
Reliable Customer Service Representative",25935030@email.com,,,BUSINESS-DEVELOPMENT,Bachelor's,2.0,"Go, AI, Marketing, Sales, Operations, Research, Communication, API",12,data\ACCOUNTANT\25935030.pdf,2025-09-07 23:29:34,,,,,
CAND_A5A6053B,26065877,"Professional Summary
Talented Senior Accountant",26065877@email.com,,,ACCOUNTANT,Bachelor's,10.0,"AI, Sales, Accounting, Research",12,data\ACCOUNTANT\26065877.pdf,2025-09-07 23:29:36,,,,,
CAND_8D4DC5E0,26975573,Summary,26975573@email.com,,,ACCOUNTANT,Master's,7.5,"Go, AWS, AI, Leadership, Finance, Accounting, Operations, Research, Communication, API",12,data\ACCOUNTANT\26975573.pdf,2025-09-07 23:29:38,,,,,
CAND_B22B2772,27558837,"Experience
August",27558837@email.com,,,ACCOUNTANT,Bachelor's,7.5,"AI, Leadership, Sales, Finance, Accounting, Operations",12,data\ACCOUNTANT\27558837.pdf,2025-09-07 23:29:39,,,,,
CAND_08CC4E20,27573855,"Summary
Over",27573855@email.com,,,ACCOUNTANT,Master's,2.0,"AI, Project Management, Leadership, Sales, Accounting, Research, Communication, API, REST",12,data\ACCOUNTANT\27573855.pdf,2025-09-07 23:29:41,,,,,
CAND_2C070445,27637576,"Summary
Strategic",27637576@email.com,,,ACCOUNTANT,Bachelor's,7.5,"AI, Project Management, Sales, Finance, Accounting, Operations",12,data\ACCOUNTANT\27637576.pdf,2025-09-07 23:29:43,,,,,
CAND_7D69F5F5,27980446,"Summary
Accounting",27980446@email.com,,,ACCOUNTANT,Master's,2.0,"Go, AI, Sales, Accounting, Research",12,data\ACCOUNTANT\27980446.pdf,2025-09-07 23:29:45,,,,,
CAND_0CB4D91C,28298773,"Summary
Professional Accountant",28298773@email.com,,,ACCOUNTANT,Master's,7.5,"AI, Sales, Finance, Accounting, Research, REST",120,data\ACCOUNTANT\28298773.pdf,2025-09-07 23:29:46,,,,,
CAND_EE6383CC,28359817,"Summary
To",28359817@email.com,,,ACCOUNTANT,Bachelor's,8.75,"Go, AI, Strategy, Sales, Finance, Accounting, API",12,data\ACCOUNTANT\28359817.pdf,2025-09-07 23:29:47,,,,,
CAND_CF0CB181,28614791,"Summary
Energetic",28614791@email.com,25305-0330,,ACCOUNTANT,Bachelor's,2.0,"Go, AWS, AI, Accounting, Operations, Research",6,data\ACCOUNTANT\28614791.pdf,2025-09-07 23:29:49,,,,,
CAND_43FD398D,28939941,"Summary
Creative",28939941@email.com,,,ACCOUNTANT,Master's,7.5,"Go, AI, Strategy, Marketing, Sales, Finance, Accounting, Research, Communication, Networking",0,data\ACCOUNTANT\28939941.pdf,2025-09-07 23:29:51,,,,,
CAND_3513D6AA,28969385,Summary,28969385@email.com,,,ACCOUNTANT,Master's,7.5,"Go, AWS, AI, Leadership, Finance, Accounting, Operations, Research, Communication, Teamwork",12,data\ACCOUNTANT\28969385.pdf,2025-09-07 23:29:52,,,,,
CAND_E278F53A,29050809,Summary,29050809@email.com,,,ACCOUNTANT,Master's,7.5,"Go, AI, Sales, Accounting, Research, Communication, API, REST",12,data\ACCOUNTANT\29050809.pdf,2025-09-07 23:29:55,,,,,
CAND_F96215A2,29456173,"Summary
Accomplished",29456173@email.com,,,ACCOUNTANT,Master's,2.0,"AI, Finance, Accounting, Operations, Research, REST",6,data\ACCOUNTANT\29456173.pdf,2025-09-07 23:29:56,,,,,
CAND_431169B1,29821051,"Professional Summary
Client",29821051@email.com,,,FINANCE,Master's,7.5,"Go, AI, Project Management, Leadership, Marketing, Sales, Finance, Accounting, Operations, Research, Communication, REST, Networking, IoT, Social Media",96,data\ACCOUNTANT\29821051.pdf,2025-09-07 23:29:58,,,,,
CAND_FB66C903,29999135,"Professional Summary
To",29999135@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AI, Sales, Finance, Accounting, Communication",6,data\ACCOUNTANT\29999135.pdf,2025-09-07 23:30:00,,,,,
CAND_8915C11F,30304575,"Professional Summary
Multi",30304575@email.com,,,ACCOUNTANT,Master's,2.0,"Go, AWS, AI, Sales, Finance, Accounting, Research, Communication, API",12,data\ACCOUNTANT\30304575.pdf,2025-09-07 23:30:02,,,,,
CAND_CB5210EC,30361788,"Summary
Innovative",30361788@email.com,,,ACCOUNTANT,Bachelor's,2.0,"Go, AI, Accounting",0,data\ACCOUNTANT\30361788.pdf,2025-09-07 23:30:02,,,,,
CAND_E2AE0B99,30813919,"Professional Profile
Certified Accountant",30813919@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AI, Leadership, Strategy, Accounting, Operations, Communication",120,data\ACCOUNTANT\30813919.pdf,2025-09-07 23:30:03,,,,,
CAND_7333ED0D,31602598,"Summary
Capable Accountant",31602598@email.com,,,ACCOUNTANT,Bachelor's,8.774999999999999,"AWS, AI, Sales, Accounting, Consulting, Research, API",120,data\ACCOUNTANT\31602598.pdf,2025-09-07 23:30:05,,,,,
CAND_D7A0D74D,33527446,"Summary
Several",33527446@email.com,,,BUSINESS-DEVELOPMENT,Bachelor's,2.0,"Go, Git, AI, Marketing, Sales, Business Development, Accounting, Consulting, REST",12,data\ACCOUNTANT\33527446.pdf,2025-09-07 23:30:06,,,,,
CAND_A3153632,34198885,"Summary
Flexible",34198885@email.com,,,ACCOUNTANT,Master's,2.0,"Go, AI, Sales, Accounting, Operations, Research, Communication",12,data\ACCOUNTANT\34198885.pdf,2025-09-07 23:30:08,,,,,
CAND_89FCFC22,34816637,"Skills
Income Statement",34816637@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AI, Sales, Accounting, Operations, REST",0,data\ACCOUNTANT\34816637.pdf,2025-09-07 23:30:09,,,,,
CAND_CEDC33B8,35554162,"Senior Accountant
Results",35554162@email.com,,,ACCOUNTANT,Master's,7.5,"AI, Finance, Accounting, Operations, Research, Communication, API",12,data\ACCOUNTANT\35554162.pdf,2025-09-07 23:30:10,,,,,
CAND_BA960E8F,36024962,"Summary
Team",36024962@email.com,,,ACCOUNTANT,Bachelor's,7.5,"AI, Finance, Accounting, Operations, Research",0,data\ACCOUNTANT\36024962.pdf,2025-09-07 23:30:11,,,,,
CAND_A389B350,36425270,Professional Summary,36425270@email.com,2012 - 2013,,ACCOUNTANT,Bachelor's,2.5,"Go, AI, Accounting, Research, Communication, REST",6,data\ACCOUNTANT\36425270.pdf,2025-09-07 23:30:12,,,,,
CAND_7DC0DC2B,37370455,"Summary
Financial Accountant",37370455@email.com,,,FINANCE,Bachelor's,6.2250000000000005,"Go, AI, Leadership, Sales, Finance, Accounting, Operations, Communication",0,data\ACCOUNTANT\37370455.pdf,2025-09-07 23:30:13,,,,,
CAND_6F83566A,37997506,"Professional Summary
Accountant",37997506@email.com,,,ACCOUNTANT,Master's,2.0,"Go, AI, Finance, Accounting",12,data\ACCOUNTANT\37997506.pdf,2025-09-07 23:30:15,,,,,
CAND_F5981D1B,38847011,"Professional Profile
To",38847011@email.com,,,ACCOUNTANT,Master's,10.0,"Go, AWS, AI, Accounting, Operations",6,data\ACCOUNTANT\38847011.pdf,2025-09-07 23:30:17,,,,,
CAND_5AB7ACA9,39115899,"Summary
Personable",39115899@email.com,,,ACCOUNTANT,Master's,2.0,"Go, SQL, AI, Accounting, Communication",6,data\ACCOUNTANT\39115899.pdf,2025-09-07 23:30:18,,,,,
CAND_99C9A61F,39674178,"Executive Summary
Motivated",39674178@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AI, Accounting, Operations, REST",0,data\ACCOUNTANT\39674178.pdf,2025-09-07 23:30:20,,,,,
CAND_995ADDF9,42487883,Summary,42487883@email.com,,,ACCOUNTANT,Bachelor's,7.5,"AI, Sales, Accounting, Research, API, REST",12,data\ACCOUNTANT\42487883.pdf,2025-09-07 23:30:21,,,,,
CAND_4798CD0B,43685045,Highlights,43685045@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, AI, Sales, Finance, Accounting",0,data\ACCOUNTANT\43685045.pdf,2025-09-07 23:30:22,,,,,
CAND_D76772EB,49204385,Summary,49204385@email.com,,,BUSINESS-DEVELOPMENT,Master's,2.0,"Go, AI, Leadership, Marketing, Sales, Accounting, Operations, Research, Communication, REST",12,data\ACCOUNTANT\49204385.pdf,2025-09-07 23:30:25,,,,,
CAND_A7C22B8B,49997097,"Summary
Flexible Accountant",49997097@email.com,,,ACCOUNTANT,Bachelor's,2.0,"AI, Accounting, Operations",0,data\ACCOUNTANT\49997097.pdf,2025-09-07 23:30:26,,,,,
CAND_C4E65477,50222417,Professional Summary,50222417@email.com,,,ACCOUNTANT,Master's,8.325,"AI, Finance, Accounting, Research, API, REST, IoT",12,data\ACCOUNTANT\50222417.pdf,2025-09-07 23:30:28,,,,,
CAND_B86F2E5D,53640713,"Summary
Currently",53640713@email.com,,,ACCOUNTANT,Master's,7.5,"Go, AI, Strategy, Marketing, Finance, Accounting, Operations, Consulting, REST",96,data\ACCOUNTANT\53640713.pdf,2025-09-07 23:30:31,,,,,
CAND_A5DEDFB2,59403481,Professional Summary,59403481@email.com,,,Science,Bachelor's,2.0,"Go, AI, Sales, Accounting, Operations, Research, Communication, REST",12,data\ACCOUNTANT\59403481.pdf,2025-09-07 23:30:33,,,,,
CAND_EC366B78,62809577,"Summary
Quality",62809577@email.com,,,ACCOUNTANT,Bachelor's,2.0,"AWS, AI, Project Management, Accounting, Research, Communication, REST",12,data\ACCOUNTANT\62809577.pdf,2025-09-07 23:30:34,,,,,
CAND_5E6F55F2,63137898,"Summary
Flexible",63137898@email.com,,,ACCOUNTANT,Bachelor's,7.5,"Go, Spring, AI, Sales, Business Development, Finance, Accounting, Operations, Communication",12,data\ACCOUNTANT\63137898.pdf,2025-09-07 23:30:35,,,,,
